ObjectType,OldID,NewID,ObjectName,FilePath,Status
Table,34002202,55446,"Programacion entrenamiento","src/tables/Table 34002202 - Programacion entrenamiento.al",Renumbered
Table,34002203,55447,"Expositores","src/tables/Table 34002203 - Expositores.al",Renumbered
Table,34002204,55448,"Cab. Entrenamiento","src/tables/Table 34002204 - Cab. Entrenamiento.al",Renumbered
Table,34002205,55449,"Lin. entrenamientos","src/tables/Table 34002205 - Lin. entrenamientos.al",Renumbered
Table,34002206,55450,"Asistentes entrenamientos","src/tables/Table 34002206 - Asistentes entrenamientos.al",Renumbered
Table,34002208,55451,"Headline RC Payroll","src/tables/Table 34002208 - Headline RC Payroll.al",Renumbered
Table,34002500,55452,"Configuracion General DsPOS","src/tables/Table 34002500 - Configuracion General DsPOS.al",Renumbered
Table,34002501,55453,"Configuracion TPV","src/tables/Table 34002501 - Configuracion TPV.al",Renumbered
Table,34002502,55454,"Usuarios TPV","src/tables/Table 34002502 - Usuarios TPV.al",Renumbered
Table,34002503,55455,"Tiendas","src/tables/Table 34002503 - Tiendas.al",Renumbered
Table,34002504,55456,"Bancos tienda","src/tables/Table 34002504 - Bancos tienda.al",Renumbered
Table,34002505,55457,"Cajeros","src/tables/Table 34002505 - Cajeros.al",Renumbered
Table,34002506,55458,"Menu ventas TPV","src/tables/Table 34002506 - Menu ventas TPV.al",Renumbered
Table,34002507,55459,"Grupos Cajeros","src/tables/Table 34002507 - Grupos Cajeros.al",Renumbered
Table,34002508,55460,"Log procesos TPV","src/tables/Table 34002508 - Log procesos TPV.al",Renumbered
Table,34002509,55461,"Menus TPV","src/tables/Table 34002509 - Menus TPV.al",Renumbered
Table,34002510,55462,"Clinetes TPV","src/tables/Table 34002510 - Clinetes TPV.al",Renumbered
Table,34002511,55463,"Botones","src/tables/Table 34002511 - Botones.al",Renumbered
Table,34002512,55464,"Acciones","src/tables/Table 34002512 - Acciones.al",Renumbered
Table,34002513,55465,"Formas de Pago","src/tables/Table 34002513 - Formas de Pago.al",Renumbered
Table,34002514,55466,"Formas de Pago TPV","src/tables/Table 34002514 - Formas de Pago TPV.al",Renumbered
Table,34002515,55467,"Tipos de Tarjeta","src/tables/Table 34002515 - Tipos de Tarjeta.al",Renumbered
Table,34002517,55468,"Vendedores","src/tables/Table 34002517 - Vendedores.al",Renumbered
Table,34002518,55469,"Conf. Rutas Imp/Exp. Ventas","src/tables/Table 34002518 - Conf. Rutas ImpExp. Ventas.al",Renumbered
Table,34002519,55470,"Dimension Defecto Almacen","src/tables/Table 34002519 - Dimension Defecto Almacen.al",Renumbered
Table,34002520,55471,"Dimension Set Entry TPV","src/tables/Table 34002520 - Dimension Set Entry TPV.al",Renumbered
Table,34002521,55472,"Pagos TPV","src/tables/Table 34002521 - Pagos TPV.al",Renumbered
Table,34002522,55473,"Param. CDU DsPOS","src/tables/Table 34002522 - Param. CDU DsPOS.al",Renumbered
Table,34002523,55474,"Transacciones Caja TPV","src/tables/Table 34002523 - Transacciones Caja TPV.al",Renumbered
Table,34002524,55475,"Control de TPV","src/tables/Table 34002524 - Control de TPV.al",Renumbered
Table,34002525,55476,"Solicitud de etiquetas","src/tables/Table 34002525 - Solicitud de etiquetas.al",Renumbered
Table,34002526,55477,"Arqueo de caja","src/tables/Table 34002526 - Arqueo de caja.al",Renumbered
Table,34002527,55478,"Billetes y Monedas Divisa","src/tables/Table 34002527 - Billetes y Monedas Divisa.al",Renumbered
Table,34002528,55479,"Lin. declaracion caja","src/tables/Table 34002528 - Lin. declaracion caja.al",Renumbered
Table,34002529,55480,"Turnos TPV","src/tables/Table 34002529 - Turnos TPV.al",Renumbered
